userID,cuisine
1001,American
1002,Mexican
1003,Mexican
1004,Bakery
1004,Breakfast-Brunch
1004,Japanese
1004,Contemporary
1004,Mexican
1004,Bagels
1004,Cafe-Coffee_Shop
1004,Continental-European
1004,Cafeteria
1005,American
1006,Mexican
1007,Family
1008,Cafe-Coffee_Shop
1008,Mexican
1008,Juice
1008,Hawaiian
1008,Hot_Dogs
1008,Latin_American
1008,Korean
1008,American
1008,Cafeteria
1008,Italian
1009,Diner
1009,Fast_Food
1009,Family
1009,Cafe-Coffee_Shop
1009,Deli-Sandwiches
1009,Cafeteria
1009,Mexican
1010,Mexican
1011,Mexican
1012,Latin_American
1013,Japanese
1014,Japanese
1014,Fast_Food
1015,Mexican
1016,Cafe-Coffee_Shop
1016,Contemporary
1016,Regional
1016,Fusion
1016,Japanese
1016,Portuguese
1016,American
1016,Indian-Pakistani
1016,Eastern_European
1016,Lebanese
1016,Moroccan
1016,Barbecue
1016,Polynesian
1016,Polish
1017,Chinese
1018,Mexican
1019,Family
1020,Mexican
1021,Pizzeria
1021,Regional
1021,Chinese
1021,Burgers
1022,Mexican
1023,Mexican
1024,Afghan
1025,Mexican
1026,Mexican
1027,Family
1028,Mexican
1029,Mexican
1030,Mexican
1031,Mexican
1032,Mexican
1033,Mexican
1034,Mexican
1035,Family
1036,Mexican
1037,Mexican
1038,Mexican
1039,Regional
1040,Pizzeria
1041,Contemporary
1042,Mexican
1043,Latin_American
1044,Mexican
1045,Middle_Eastern
1045,Mexican
1045,Mongolian
1045,Moroccan
1046,Bar
1047,American
1048,Mexican
1049,Mexican
1050,Mexican
1051,Mexican
1052,Bakery
1053,Mexican
1054,Mexican
1055,Breakfast-Brunch
1056,Mexican
1057,American
1058,Cuban
1059,Mexican
1060,Burgers
1060,Cafeteria
1060,Pizzeria
1060,Juice
1060,American
1060,Tex-Mex
1060,Spanish
1060,Mexican
1060,Fast_Food
1060,Cafe-Coffee_Shop
1060,Soup
1060,Hot_Dogs
1060,Italian
1061,Mexican
1062,Mexican
1063,Mexican
1064,Mexican
1065,Mexican
1066,Mexican
1067,Mexican
1068,Mexican
1069,Mexican
1070,Mexican
1071,Mexican
1072,Mexican
1073,American
1074,Sushi
1075,Mexican
1076,Mexican
1077,Mexican
1078,Mexican
1079,Mexican
1080,Mexican
1081,Mexican
1082,Mexican
1083,Mexican
1084,Mexican
1085,Mexican
1086,Italian
1087,Chinese
1088,Mexican
1089,Mexican
1090,Tex-Mex
1091,American
1091,Mexican
1092,Game
1093,Japanese
1094,Mexican
1095,Italian
1096,Mexican
1097,Mexican
1098,Mexican
1099,Mexican
1100,Mexican
1101,Chinese
1101,Italian
1101,Doughnuts
1101,Afghan
1101,Mexican
1101,Burgers
1101,Latin_American
1101,Contemporary
1101,Cafe-Coffee_Shop
1101,Family
1101,Cafeteria
1101,Bar
1101,Australian
1101,Hot_Dogs
1101,Diner
1102,Pizzeria
1103,Mexican
1104,Italian
1105,Cafeteria
1106,Barbecue
1107,Mexican
1108,Cafe-Coffee_Shop
1108,Sushi
1108,Latin_American
1108,Deli-Sandwiches
1108,Mexican
1108,Hot_Dogs
1108,American
1108,Fast_Food
1108,Burgers
1108,Asian
1108,Pizzeria
1108,Chinese
1108,Dessert-Ice_Cream
1108,Cafeteria
1108,Japanese
1108,Game
1108,Family
1108,Seafood
1109,Mexican
1110,Mexican
1111,Mexican
1112,Mexican
1113,Burgers
1114,Mexican
1115,Regional
1116,Mexican
1117,Turkish
1118,Pizzeria
1119,Mexican
1120,Mexican
1121,Mexican
1122,Afghan
1123,Mexican
1124,Mexican
1125,Mexican
1126,Mexican
1127,Mexican
1128,Cafeteria
1128,Hot_Dogs
1128,Pizzeria
1128,Mexican
1129,Mexican
1130,Mexican
1131,Mexican
1132,Mexican
1133,Mexican
1134,Mexican
1135,Organic-Healthy
1135,Steaks
1135,Middle_Eastern
1135,Mediterranean
1135,British
1135,Austrian
1135,Israeli
1135,Doughnuts
1135,Pizzeria
1135,Seafood
1135,Fast_Food
1135,Moroccan
1135,Hot_Dogs
1135,Russian-Ukrainian
1135,Malaysian
1135,Burgers
1135,Fusion
1135,Korean
1135,Japanese
1135,Vegetarian
1135,Turkish
1135,Peruvian
1135,Juice
1135,Tapas
1135,Eclectic
1135,African
1135,Basque
1135,Canadian
1135,Afghan
1135,Diner
1135,Irish
1135,Sushi
1135,Polynesian
1135,Bagels
1135,Tex-Mex
1135,Cuban
1135,Southwestern
1135,Cafe-Coffee_Shop
1135,Continental-European
1135,Family
1135,Indian-Pakistani
1135,Tea_House
1135,International
1135,Pacific_Northwest
1135,Australian
1135,German
1135,Regional
1135,Spanish
1135,Persian
1135,Ethiopian
1135,Romanian
1135,Cambodian
1135,Pacific_Rim
1135,Tunisian
1135,Filipino
1135,Dim_Sum
1135,Breakfast-Brunch
1135,Contemporary
1135,Greek
1135,Thai
1135,Swiss
1135,Bar
1135,Soup
1135,American
1135,Mongolian
1135,Cajun-Creole
1135,Armenian
1135,Indigenous
1135,Bar_Pub_Brewery
1135,Hawaiian
1135,Cafeteria
1135,Lebanese
1135,Chinese
1135,Portuguese
1135,Caribbean
1135,Indonesian
1135,Hungarian
1135,Bakery
1135,Dutch-Belgian
1135,Deli-Sandwiches
1135,Kosher
1135,Fine_Dining
1135,Jamaican
1135,Tibetan
1135,Latin_American
1135,Southeast_Asian
1135,Eastern_European
1135,Mexican
1135,Burmese
1135,California
1135,Game
1135,Italian
1135,Scandinavian
1135,Chilean
1135,Polish
1135,North_African
1135,Asian
1135,Vietnamese
1135,Barbecue
1135,French
1135,Brazilian
1135,Southern
1135,Dessert-Ice_Cream
1136,Mexican
1137,Mexican
1138,Pizzeria
